利弗莫尔（Livermore）认为决定交易成败的核心因素是什么？,执行时的情绪控制。
交易心理学权威马克·道格拉斯认为成功的交易中，心理因素占比是多少？,$80\%$。
在正念交易系统中，交易策略（如均线、量价）被比喻为什么？,安装在电脑里的“软件”。
在正念交易系统中，交易者的心态被比喻为什么？,底层操作系统（OS）。
决定“软件”（交易策略）能否稳定运行的基础是什么？,心态这一底层操作系统的稳定性。
什么是导致多数交易者亏损的“总原理”？,缺乏一套能够防御人性弱点的“正念交易系统”。
正念交易中，“知”与“行”分别对应交易的哪个环节？,“知”对应正确的判断，“行”对应正确的执行。
交易中“见惑”的本质定义是什么？,理惑，即认知错误、逻辑偏差或世界观不正。
交易中“思惑”的本质定义是什么？,事惑，即与生俱来的习气反应和情绪失控。
哪一种魔障被比喻为“大树深埋地下的根系”，决定了交易的底层逻辑？,见惑。
见惑中的“身见”在交易中具体表现为何种执着？,对“成本价”的执着。
交易者因涨了几分就想卖，亏了就想扛到回本，这属于哪种“见惑”？,身见。
见惑中的“边见”在交易中表现为何种极端思维？,非黑即白，如死多或死空，无法客观看待波动。
不相信概率博弈和风控，转而迷信大神预测，这属于哪种“见惑”？,邪见。
执着于某套战法为“圣杯”，认为其绝对无敌，属于哪种“见惑”？,见取见。
死记硬背指标口诀（如金叉必买）而忽略盘面环境，属于哪种“见惑”？,戒禁取见。
破除“见惑”的核心认知三要素是什么？,概率、风控、盈亏同源。
为什么说“见惑不破，永远在瞎做”？,因为认知根源错误会导致决策逻辑从底层失效。
“思惑”会导致交易者在实战中出现哪种普遍的痛苦状态？,道理都懂，但管不住手。
思惑中的“贪”在盈利时如何表现？,该止盈时不止盈，幻想无限上涨；或因贪小利而过早离场。
因亏损感到愤怒并产生“报复性交易”，属于“思惑”中的哪一种？,嗔。
在震荡盘面中完全丧失规则记忆，被 $K$ 线牵着鼻子走，属于“思惑”中的哪一种？,痴。
赚了几笔后觉得自己是“股神”而轻视风控，属于“思惑”中的哪一种？,慢。
信号到了却犹豫不决，进场后又不断怀疑，属于“思惑”中的哪一种？,疑。
“思惑”之所以难以克服，是因为它在哪种生理机制下发生？,本能习气在 $13ms$ 内劫持了大脑。
破除“思惑”的药方包含哪三个核心动作？,纪律、觉察、复盘。
什么是“尘沙惑”？,指方法不足、细节失当或应变能力欠缺。
